anime,Boku no Hero Academia 5th Season,Tokyo Revengers,Fumetsu no Anata e,"Ijiranaide, Nagatoro-san",Hige wo Soru. Soshite Joshikousei wo Hirou.,86,Vivy: Fluorite Eye's Song,Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω,Fruits Basket: The Final,"Sentouin, Hakenshimasu!","Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",Tensura Nikki: Tensei shitara Slime Datta Ken,Odd Taxi,Shaman King (2021),Osananajimi ga Zettai ni Makenai Love Comedy,Mairimashita! Iruma-kun 2nd Season,Koi to Yobu ni wa Kimochi Warui,Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara,Edens Zero,Zombieland Saga: Revenge,Yuukoku no Moriarty 2nd Season,Nomad: Megalo Box 2,Shadows House,Seijo no Maryoku wa Bannou Desu,Mashiro no Oto,Mars Red,SSSS.Dynazenon,Shakunetsu Kabaddi,Jouran: The Princess of Snow and Blood,Super Cub,Bakuten!!,Bishounen Tanteidan,Subarashiki Kono Sekai The Animation,Godzilla: S.P,"Dragon, Ie wo Kau.",Seven Knights Revolution: Eiyuu no Keishousha,Sayonara Watashi no Cramer,Yakunara Mug Cup mo,Kuro Gal ni Natta kara Shinyuu to shitemita.,Blue Reflection Ray,Cestvs: The Roman Fighter,Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu,Cardfight!! Vanguard: overDress,Battle Athletess Daiundoukai ReSTART!,Yuuki Yuuna wa Yuusha de Aru Churutto!,Itazuraguma no Gloomy,Dinosaur Biyori,Youkai Watch ♪,Shikaru Neko,Mazica Party,Mewkledreamy Mix!,Shinkansen Henkei Robo Shinkalion Z the Animation,Duel Masters King!,Uchuu Nanchara Kotetsu-kun,Motto! Majime ni Fumajime Kaiketsu Zorori 2nd Season,Utau Soccer Panda Mifanda,Iii Icecrin,Hyper Positive Yogoremon,Dosukoi Sushi Zumou,Oshiri Tantei 5th Season,Washimo 9th Season,One Piece,Boruto: Naruto Next Generations,Nanatsu no Taizai: Fundo no Shinpan,Detective Conan,"Kumo Desu ga, Nani ka?",Crayon Shin-chan,Kingdom 3rd Season,Pokemon (2019),Dragon Quest: Dai no Daibouken (2020),Digimon Adventure:,Back Arrow,Doraemon (2005),Yu☆Gi☆Oh!: Sevens,Maiko-san Chi no Makanai-san,Tropical-Rouge! Precure,Sazae-san,Nintama Rantarou,Rebirth,Chibi Maruko-chan (1995),D4DJ Petit Mix,Tokyo Gambo,Aikatsu Planet!,Kiratto Pri☆chan Season 3,Ojarumaru,Neko Konogoro,Neko no Robu,Fushigi Dagashiya: Zenitendou,Knyacki!,Aware! Meisaku-kun,Hanakappa,Kirin the Noop,Shimajirou no Wow!,Manul no Yuube,Gohan Kaijuu Pap,Yowamushi Monsters,Norimono Man: Mobile Land no Car-kun,Robot Pulta,Liv & Bell,Konigiri-kun,Beads no Mori no Rabi,Fuwafuwa Hour: Pui Pui & Muu Muu,Keito no Yousei: Knit to Wool,Unicorn no Kyupi,Pakkororin,Reizouko no Tsukenosuke!,Onigiri ni Naritai Cogimyun,Pororo Donghwanala,Gokushufudou,Shuumatsu no Walküre,Shiguang Dailiren,Yasuke,Mini Dragon,Youjo Senki: Sabaku no Pasta Daisakusen,Hetalia World★Stars,Eden (ONA),Shiguang Dailiren Fan Wai Pian: Biwu Zhaoqin,Etotama: Nyankyaku Banrai,Yoru no Kuni,Chibi Revenger,Artiswitch,Hololive Alternative,Daomu Biji Zhi Qinling Shen Shu,Liang Bu Yi,Wanmei Shijie,Celia-sensei no Wakuwaku Magical Kyoushitsu,Douluo Dalu: Shan Yu Yu Lai,Shi Yi Chang An: Mingyue Jishi You Er,Mi Bao Zhi Guo,Zhen Hun Jie: Bei Luo Shi Men Pian Part 2,Beyblade Burst Dynamite Battle,Wan Jie Du Zun,SD Gundam World Heroes,Blue Reflection Ray!,Wu Shang Shen Di 2nd Season,Mignon,Juan Siliang,Li Linke de Xiao Guaner,Kuang Shen Mo Zun,Xinghe Zhizun,Wan Jie Xian Zong 5th Season,Hua Jianghu: Huan Shi Men Sheng 2nd Season,Zhihao Beipan Diqiule,Aoi Hane Mitsuketa! Sagashite Miyou Mijika na Tori-tachi,Tai Yi Xian Mo Lu Zhi Ling Fei Ji IV,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen OVA,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III OVA,Uchi no Otouto Maji de Dekain Dakedo Mi ni Konai?,Oyasumi Sex,J* Fuuzoku Gakuensai,Sakusei Byoutou The Animation,Eroge de Subete wa Kaiketsu Dekiru! The Animation,Netokano,Netoshisu,Bitch na Inane-sama,Kazoku: Haha to Shimai no Kyousei,Shidoukan Day After The Animation,Karada de Kaiketsu Hyakkiya Tantei Jimusho,Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram,Shika no Ou: Yuna to Yakusoku no Tabi,Detective Conan Movie 24: The Scarlet Bullet,Sayonara Watashi no Cramer Movie: First Touch,Journey: Taiko Arabia Hantou de no Kiseki to Tatakai no Monogatari,BanG Dream! Movie: Episode of Roselia - I: Yakusoku,Shoujo☆Kageki Revue Starlight Movie,"""Uchuu Senkan Yamato"" to Iu Jidai: Seireki 2202-nen no Sentaku",Gyokou no Nikuko-chan,Sore Ike! Anpanman: Fuwa Fuwa Fuwaly to Kumo no Kuni,Xiyou Ji: Zai Shi Yao Wang,Wonder Egg Priority Special,86 Special Edition: Senya ni Akaku Hinageshi no Saku,Tensei shitara Slime Datta Ken 2nd Season: Kanwa - Veldora Nikki 2,Jaku-Chara Tomozaki-kun Specials,Vivy: Fluorite Eye's Song - To Make Everyone Happy With My Singing,"Dragon Quest: Dai no Daibouken (2020): Bouken no Kiseki, Kore kara no Tabiji",Ani x Para: Anata no Hero wa Dare desu ka,Obey Me!: Makai Dai Ryokou!,Ensemble Stars!! 5th Anniversary Animation PV,JoJo no Kimyou na Bouken (TV),Shingeki no Kyojin Season 3 Part 2,"Komi-san wa, Comyushou desu.",Hitoribocchi no Marumaru Seikatsu,Handa-kun,Koe no Katachi,Koutetsujou no Kabaneri,Code Geass: Hangyaku no Lelouch R2,Vinland Saga
Boku no Hero Academia 5th Season,0.0,0.825,1.4506999999999999,0.8139,1.51,0.8107,0.825,0.825,0.8833,0.5333,0.8169,0.825,1.2903,0.825,0.7578,0.825,0.7667,0.5237,0.8555,0.7667,0.9833,0.8438,0.9906,1.3707,0.9583,0.7479,0.7667,0.7505,0.7667,1.2897,0.9636,0.9903,0.7667,0.8175,0.7576,0.8167,0.9875,0.9897,1.5175,1.8506,0.7473,0.7667,0.65,0.72,0.86,0.65,1.2897,0.7667,1.2897,0.9909,1.2772000000000001,0.7578,0.65,0.65,0.7667,1.2897,1.6231,0.65,0.65,0.825,0.825,0.715,0.7534,0.8409,0.8206,0.7038,0.825,0.6346,0.6272,0.8179,0.65,0.7452,0.7667,0.7667,0.825,0.7667,0.7667,0.6449,0.7667,0.7667,0.65,1.2897,1.2897,0.7667,0.825,0.65,0.7667,1.2903,0.825,0.65,0.65,1.4034,0.825,1.2897,0.3,inf,0.7667,0.7667,1.4034,inf,inf,1.2875,1.2875,1.2875,inf,0.65,1.2875,1.2772000000000001,0.8177,0.8179,1.3512,0.7667,0.65,0.6409,0.6406,1.3837000000000002,1.3487,0.5333,0.9875,0.65,1.2906,inf,1.4635,0.7667,0.825,0.7667,0.86,1.4078,1.3837000000000002,0.7667,0.72,1.2875,1.6431,0.65,0.86,1.5333,0.7667,1.3582999999999998,1.2875,0.7667,0.825,1.407,0.86,1.2875,0.825,0.7667,0.8737,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.8169,0.825,0.65,1.5078,0.7667,1.6333,inf,0.825,1.2923,0.7667,0.7667,1.3487,0.825,0.65,1.5030000000000001,0.825,0.825,1.2636,0.7667,inf,0.8135,0.8346,0.7667,0.7667,0.7436,0.9923,0.8588,0.825,0.8077
Tokyo Revengers,0.825,0.0,0.65,1.293,0.825,0.65,0.8517,0.9842,0.7539,0.86,0.9923,0.9923,0.994,0.86,0.9829,0.8395,0.99,0.8413,0.991,0.825,0.9923,0.7125,0.825,0.9842,0.8179,0.5333,0.8177,0.9763,0.5333,1.4679,0.9921,1.294,0.8167,0.86,1.2885,0.8521,0.8066,1.4679,1.51,1.6364,0.5333,0.825,0.9921,0.9,0.8833,0.9885,1.4679,0.825,1.4679,1.3917000000000002,1.3641,0.825,0.8833,0.9903,1.3933,1.4679,1.5203,1.288,1.288,1.4257,1.51,0.7652,0.8138,0.7141,0.9972,0.8846,1.5206,0.7595,0.8726,0.86,0.8833,0.825,0.9929,0.8153,1.5133,0.825,1.2925,0.9984,1.2925,1.2925,1.2833,1.4679,1.4679,1.2724,1.3445,1.288,1.2925,1.294,0.86,1.288,1.288,1.4056000000000002,1.3445,1.4679,0.825,inf,1.2925,1.3933,1.4056000000000002,inf,inf,1.4167,1.4167,1.4167,inf,1.288,1.4167,1.3641,0.993,0.2786,0.5333,0.825,1.288,0.7667,1.288,1.4744000000000002,0.825,0.86,1.2643,0.988,0.825,inf,0.86,1.2829,0.86,0.9885,0.8833,1.475,1.4257,0.5333,0.9,1.4167,1.5145,1.288,0.72,0.86,0.825,1.5846,1.4167,0.825,0.86,0.8833,0.8833,1.4167,0.86,1.5064,0.9909,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.65,0.86,0.72,0.9903,0.825,1.9754,inf,0.65,0.757,1.2885,0.825,0.825,0.65,0.8833,0.825,0.86,0.86,1.2921,1.2885,inf,0.6389,0.7057,0.9925,1.2925,0.993,0.7667,0.5744,0.65,0.6446
Fumetsu no Anata e,1.4506999999999999,0.65,0.0,1.2917,0.813,0.86,1.4901,1.467,0.7593,1.3445,1.2803,0.9906,1.4167,0.65,1.4707,0.8523,1.475,1.3437999999999999,0.8833,0.825,1.475,0.8833,0.8139,1.4917,0.825,0.825,1.3933,1.475,0.825,1.4639,1.4674999999999998,1.4167,0.8147,1.4938,1.3763,0.86,0.825,1.4639,1.51,0.9864,0.825,1.4622,1.2864,0.9,0.8833,1.2864,1.4639,0.825,1.4639,1.475,0.825,1.3881999999999999,0.8833,1.2864,0.825,1.4639,0.99,1.2864,0.9864,1.48,1.51,0.7645,0.8212,0.72,0.8568,0.9,1.5044,1.3976,0.8756,0.8519,0.8748,1.3572,1.46,1.37,1.4997,1.37,1.2897,0.9983,1.2897,1.2897,1.2864,1.4639,1.4639,1.2787,0.86,1.2864,1.2897,1.4167,0.86,1.2864,1.2864,0.7667,0.86,1.4639,1.4622,inf,1.2897,0.825,0.7667,inf,inf,1.475,1.475,1.475,inf,1.2864,1.475,0.825,0.9917,0.6419,0.5333,1.37,1.2864,1.4039000000000001,1.2864,1.6033,0.825,1.3445,1.475,1.2864,0.825,inf,0.65,1.475,0.86,1.3856,0.8833,1.463,1.51,0.825,0.9,1.475,1.6291,1.2864,0.72,0.86,1.37,1.5806,1.475,1.37,1.3582999999999998,0.8833,0.8833,1.475,0.86,0.99,0.9,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.86,0.86,0.8833,0.9875,0.825,2.2697,inf,0.86,0.7667,1.3856,1.37,0.825,0.86,0.8833,0.825,1.4971999999999999,0.86,1.475,1.3856,inf,0.6372,0.8782,1.2897,0.9897,0.9917,0.7667,0.7667,0.86,0.65
"Ijiranaide, Nagatoro-san",0.8139,1.293,1.2917,0.0,0.825,0.988,1.29,0.86,0.58,0.86,0.65,0.65,1.5135,0.86,0.5333,0.8485,0.5333,0.81,0.8706,0.825,1.2909,1.2912,0.825,0.65,0.825,1.4352,1.475,0.825,1.4632999999999998,0.7667,0.9833,1.5091999999999999,1.2792999999999999,1.5032,0.805,0.9833,1.4632999999999998,0.7667,0.86,1.5693,1.4632999999999998,0.825,0.7667,0.9,0.72,0.7667,0.7667,0.825,0.7667,0.98,1.3933,1.475,0.8833,0.7667,0.825,0.7667,1.5208,0.7667,0.7667,0.86,0.65,0.9,0.9979,1.4420000000000002,0.86,0.885,0.65,1.2735,0.8788,0.9875,0.8833,0.9885,0.825,1.2885,0.65,1.2885,0.5333,0.7667,0.5333,0.5333,0.7667,0.7667,0.7667,0.5333,0.86,0.7667,0.5333,1.6267,0.86,0.7667,0.7667,1.475,0.86,0.7667,0.825,inf,0.5333,0.825,1.475,inf,inf,1.28,1.28,1.28,inf,0.7667,1.28,1.3933,0.3,1.3323999999999998,1.2999999999999998,1.2885,0.7667,1.4548,0.7667,0.86,1.37,0.845,1.28,0.7667,0.825,inf,1.48,0.5333,1.2832999999999999,0.825,0.8833,0.7667,1.51,1.4632999999999998,0.9,1.28,1.5197,0.7667,1.4583,0.86,1.2885,0.825,1.28,1.2885,0.86,0.8833,0.72,1.28,1.2832999999999999,0.825,0.7667,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.9842,1.2832999999999999,0.8833,0.825,1.2979,1.75,inf,1.288,1.44,0.825,1.2885,1.37,1.288,0.8833,0.825,1.51,1.2832999999999999,1.2832999999999999,0.825,inf,1.2667,1.2897,0.5333,0.5333,0.5203,1.4325,1.4049999999999998,1.288,1.294
Hige wo Soru. Soshite Joshikousei wo Hirou.,1.51,0.825,0.813,0.825,0.0,0.825,1.4699,0.9864,0.7,0.98,1.335,1.335,1.2812,1.4603,0.7667,1.46,0.7667,1.28,1.4167,1.42,0.9864,0.86,1.4108999999999998,0.7964,0.7667,1.3376,1.3582999999999998,1.2532999999999999,1.3582999999999998,1.4167,1.4017,0.9812,1.2899,1.475,1.3582999999999998,1.335,0.7667,1.4167,0.825,0.975,0.7667,1.5218,1.2824,1.4500000000000002,0.86,1.2824,1.4167,1.42,1.4167,1.4167,0.9625,1.3532,1.3233,1.2824,1.51,1.4167,1.759,1.2824,1.2824,1.37,1.37,0.8833,0.9959,1.44,0.9992,0.987,1.4574,1.2832999999999999,1.3117999999999999,1.335,1.3167,1.2786,1.3,0.9786,1.451,1.2786,1.2842,1.2806000000000002,1.2842,1.2842,1.2824,1.4167,1.4167,0.9917,1.4626000000000001,1.2824,1.2842,1.2812,0.825,1.2824,1.2824,1.5796999999999999,1.4626000000000001,1.4167,1.51,inf,1.2842,1.51,1.5796999999999999,inf,inf,1.4167,1.4167,1.4167,inf,1.2824,1.4167,1.2625,0.8135,0.825,0.7667,1.2786,1.2824,0.9833,0.9824,1.4321000000000002,0.7667,1.28,1.4167,1.2824,1.42,inf,1.463,0.7667,1.335,1.3582999999999998,0.86,0.65,1.37,1.3582999999999998,1.51,1.4167,1.7479,1.2824,1.44,0.5333,1.2786,1.5334,1.4167,1.2786,0.825,0.65,0.65,1.4167,1.335,1.5086,0.8833,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.2524000000000002,1.335,0.86,0.7667,1.2959,2.2657,inf,0.825,0.65,1.3582999999999998,1.2786,0.7667,0.825,1.3233,0.27,1.475,1.335,1.4167,1.3582999999999998,inf,0.9921,0.86,1.2842,0.9842,0.9885,0.65,0.8833,0.825,0.825
86,0.8107,0.65,0.86,0.988,0.825,0.0,0.65,1.4756,0.8932,0.86,0.9914,0.9914,0.9935,1.4982,1.37,0.9929,1.37,0.8386,0.8738,1.475,0.9914,0.475,1.475,1.2902,0.825,0.8153,0.5333,0.9917,0.825,0.9929,0.9912,0.9897,0.825,0.65,1.3561,0.8512,0.8186,1.2929,0.9875,1.7999999999999998,0.5333,0.825,1.2889,0.7551,0.8833,1.2889,1.2929,1.475,1.2929,1.4556,1.3845,0.5333,0.8833,0.9889,1.4632,1.2929,1.295,1.2889,1.2889,1.44,0.86,0.7645,0.8213,0.8833,0.9988,0.8917,1.51,0.7588,0.8797,0.8525,0.8833,0.825,0.825,0.825,1.51,0.825,1.2842,1.2847,1.2842,1.2842,1.2889,1.2929,1.2929,1.2711999999999999,1.3437999999999999,1.2889,1.2842,1.2897,0.86,1.2889,1.2889,1.4049,1.3437999999999999,1.2929,0.825,inf,1.2842,1.4632,1.4049,inf,inf,1.475,1.475,1.475,inf,1.2889,1.475,1.3845,1.288,0.65,0.825,0.825,1.2889,0.757,1.2889,0.86,0.825,0.86,1.475,1.2889,1.475,inf,1.4982,1.37,0.86,1.3418999999999999,0.8833,1.475,0.86,0.825,0.9,1.475,1.5145,1.2889,0.8833,0.86,0.825,1.5917,1.475,0.825,0.86,0.8833,0.72,1.475,0.86,0.9812,0.9897,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.86,0.86,0.72,1.335,0.825,2.2721999999999998,inf,0.3,0.7667,1.3719000000000001,0.825,0.825,0.3,0.8833,0.825,0.65,0.86,1.2912,1.3719000000000001,inf,0.86,0.72,1.2842,1.2842,0.9842,0.7586,0.7667,0.3,0.6382
Vivy: Fluorite Eye's Song,0.825,0.8517,1.4901,1.29,1.4699,0.65,0.0,0.9885,0.9914,0.8442,1.2657,0.976,1.4167,0.9727,1.5133,1.4942,1.5197,0.86,0.8833,1.506,0.8135,0.72,1.506,0.9885,1.4699,0.825,0.5333,1.4867,0.825,1.475,1.5126,1.4167,0.825,0.65,1.3775,0.86,0.9921,1.475,1.6375000000000002,1.9619,0.795,0.825,1.2982,0.7667,1.451,1.2982,1.475,1.506,1.475,1.4465,1.3733,0.5203,0.8833,1.2964,1.4867,1.475,1.5078,1.2982,1.2982,1.48,0.86,0.8985,0.817,0.8754,0.9992,0.9,1.5072,0.7452,0.875,0.84,0.8833,0.8159,0.825,0.825,0.9824,0.8083,1.2769,0.9982,1.2769,1.2769,1.2982,1.475,1.475,1.2701,1.35,1.2982,1.2769,1.4167,1.4785,1.2982,1.2982,1.467,1.35,1.475,0.825,inf,1.2769,1.4867,1.467,inf,inf,1.4583,1.4583,1.4583,inf,1.2982,1.4583,1.3733,0.99,0.86,1.385,0.825,1.2982,0.7667,1.2964,0.8433,1.4699,0.86,1.4583,1.2982,1.5917,inf,1.5029,1.5232999999999999,0.86,1.3633,0.8833,1.6267,0.86,0.825,0.9,1.4583,1.5203,1.2982,0.8833,1.5049000000000001,0.825,1.5157,1.4583,0.825,0.86,1.4516,0.8833,1.4583,0.86,0.9739,0.985,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.8485,0.86,0.8742,1.506,0.825,2.2815,inf,0.65,1.2893,1.3775,0.825,1.4699,0.65,0.8833,1.4699,0.3,0.86,1.545,1.3775,inf,0.8529,0.8716,0.9769,1.2769,1.2769,0.9893,0.9,0.6449,0.853
Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω,0.825,0.9842,1.467,0.86,0.9864,1.4756,0.9885,0.0,0.8838,0.65,0.6167,0.6397,1.287,0.86,0.825,0.65,0.825,0.637,0.72,0.825,0.9897,1.5203,1.4417,0.86,1.37,1.3599,1.2885,0.825,1.3719000000000001,1.2832999999999999,1.4417,0.987,1.2921,0.9906,0.5333,0.86,0.9927,0.9857,1.467,1.5438999999999998,1.462,1.4417,0.756,0.9,0.72,0.7667,1.2832999999999999,0.825,1.2832999999999999,0.7667,0.825,0.9885,0.72,0.7667,0.825,1.2832999999999999,0.9889,0.7667,0.7667,0.65,0.86,0.7659,0.9981,0.8833,0.8592,0.7667,0.65,1.4037000000000002,0.7161,0.8512,0.72,0.8167,0.825,0.825,0.86,0.825,0.825,0.7649,0.825,0.825,0.7667,0.9833,1.2832999999999999,0.803,0.65,0.7667,0.825,1.287,0.65,0.7667,0.7667,1.4167,0.65,1.2832999999999999,0.825,inf,0.825,0.825,1.4167,inf,inf,0.7667,0.7667,0.7667,inf,0.7667,0.7667,0.825,0.86,1.2628,1.475,0.825,0.7667,1.4037000000000002,0.7667,0.86,0.825,0.65,0.7667,0.7667,1.4417,inf,1.467,0.825,0.86,0.5333,0.8833,1.427,0.86,1.3719000000000001,0.9,0.7667,1.6393,0.7667,0.8833,1.467,0.825,1.3933,0.7667,0.825,0.86,0.8833,0.8833,0.7667,0.86,0.5222,0.567,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.8386,0.86,0.8833,1.4503,1.2981,1.7393,inf,1.4969999999999999,1.4167,0.5333,0.825,0.825,1.4969999999999999,0.72,1.2564000000000002,1.2885,0.86,1.475,0.5333,inf,1.3476,0.8833,0.8043,0.825,0.8159,1.4167,0.8932,1.4969999999999999,0.9935
Fruits Basket: The Final,0.8833,0.7539,0.7593,0.58,0.7,0.8932,0.9914,0.8838,0.0,0.9,0.7667,0.7505,0.9939,0.7603,0.7114,0.76,0.72,0.9,0.9034,0.72,0.9921,0.9125,0.7109,0.7324,0.705,0.8552,0.9846,0.8675,0.8833,0.86,0.9919,0.9806,1.2866,0.9927,0.8833,0.9743,0.8833,0.86,0.8889,0.9893,0.8833,0.8833,0.8433,0.9222,0.65,0.86,0.86,0.72,0.86,1.475,1.4333,1.2846,0.9125,0.86,0.8833,0.86,1.6269,0.86,0.86,0.9,0.7667,0.8185,0.9926,0.8938,0.8956,0.9064,0.7667,0.985,0.9054,0.978,0.8975,0.9864,0.8833,1.2864,0.7667,1.2864,0.72,0.8567,0.72,0.72,0.86,0.86,0.86,0.7082,0.9,0.86,0.72,1.2806,0.7667,0.86,0.86,1.526,0.9,0.86,0.8833,inf,0.72,0.8833,1.526,inf,inf,1.475,1.475,1.475,inf,0.86,1.475,1.4333,0.5729,0.7524,0.72,1.2864,0.86,1.285,0.8509,0.9,0.8833,0.9,1.475,0.86,0.72,inf,0.9,0.72,1.2743,0.8833,0.9125,0.86,1.52,0.8833,0.9222,1.475,1.6987,0.86,0.9125,0.7667,1.2864,0.8833,1.475,1.2864,0.9,0.8,0.65,1.475,1.2743,0.875,0.825,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.875,1.2743,0.7933,0.8833,1.2926,1.8266,inf,0.9,0.86,0.8833,1.2864,0.8833,0.9,0.9125,0.7085,1.2913999999999999,1.2743,1.2919,0.8833,inf,0.8944,0.9125,0.7123,0.72,0.6892,0.8525,0.825,0.8958,0.8945
"Sentouin, Hakenshimasu!",0.5333,0.86,1.3445,0.86,0.98,0.86,0.8442,0.65,0.9,0.0,0.65,0.6364,1.4167,0.8503,0.825,0.65,0.825,0.3,0.72,0.825,1.287,0.8833,1.4613999999999998,0.86,1.37,0.825,0.825,0.825,0.825,1.3946999999999998,1.2714,1.4167,0.825,0.86,0.5333,0.65,1.4605,1.4024,1.2842,1.7248,0.825,0.825,0.7667,0.7436,0.72,0.7667,1.4031,0.825,1.4031,0.7667,0.825,0.825,0.475,0.7667,0.825,1.4031,1.4666000000000001,0.7667,0.7667,0.65,0.86,0.58,0.825,0.72,0.86,0.58,0.86,0.7667,0.4707,0.65,0.475,0.5333,0.825,0.5333,0.86,0.5119,0.825,0.7667,0.825,0.825,0.7667,1.4,1.4031,0.825,0.65,0.7667,0.825,1.4167,0.65,0.7667,0.7667,1.2957,0.65,1.4031,0.5333,inf,0.825,0.825,1.2957,inf,inf,0.7667,0.7667,0.7667,inf,0.7667,0.7667,0.825,0.86,0.86,1.3933,0.5333,0.7667,0.7667,0.7667,0.86,0.825,0.3,0.7667,0.7667,1.4613999999999998,inf,1.3467,0.825,0.65,0.5333,0.72,1.4167,0.86,0.825,0.7667,0.7667,1.5785,0.7667,0.72,1.48,0.5333,1.3933,0.7667,0.5333,0.65,0.8833,0.8833,0.7667,0.65,0.7934,0.7479,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.65,0.65,0.72,1.4625,0.825,1.75,inf,0.86,1.4167,0.5333,0.5333,0.825,0.86,0.475,1.25,0.86,0.65,1.475,0.5333,inf,0.86,0.72,0.812,0.8092,0.8135,1.4167,0.7667,0.86,0.86
